,Type,Date,Ship Date,Deliv Date,Terms,Due Date,Num,P. O. #,Name,Qty,Invoiced,Backordered,Amount,Item,Rep,Open Balance,Inventory Site
Inventory,,,,,,,,,,,,,,,,,
Accessory,,,,,,,,,,,,,,,,,
,Sales Order,03/05/2025,10/24/2025,,Net 30,04/04/2025,SO-20250326,PO208679,Noah Medical U.S.,10,0,10,40,Accessory:Cbl-MHF-RP_SMAF-30CM,A800,40,WH01S-NTA
,Sales Order,03/05/2025,12/26/2025,,Net 30,04/04/2025,SO-20250327,PO208679,Noah Medical U.S.,10,0,10,40,Accessory:Cbl-MHF-RP_SMAF-30CM,A800,40,WH01S-NTA
,Sales Order,03/05/2025,02/20/2026,,Net 30,04/04/2025,SO-20250328,PO208679,Noah Medical U.S.,10,0,10,40,Accessory:Cbl-MHF-RP_SMAF-30CM,A800,40,WH01S-NTA
,Sales Order,03/05/2025,04/24/2026,,Net 30,04/04/2025,SO-20250329,PO208679,Noah Medical U.S.,6,0,6,24,Accessory:Cbl-MHF-RP_SMAF-30CM,A800,24,WH01S-NTA
,Sales Order,09/04/2025,10/14/2025,,Net 30,10/04/2025,SO-20251253,PO4056,"Seafloor Systems, Inc.",16,0,16,96,Accessory:Cbl-MHF-RP_SMAF-30CM,A800,96,WH01S-NTA
,Sales Order,09/11/2025,10/03/2025,,Prepay,09/11/2025,SO-20251298,N091125,Ball Horticultural Company,6,0,6,24,Accessory:Cbl-MHF-RP_SMAF-30CM,A689,24,WH01S-NTA
,Sales Order,09/12/2025,10/24/2025,,Prepay,09/12/2025,SO-20251306,PO-036318,ADVANCED TECH & RESEARCH,6,0,6,24,Accessory:Cbl-MHF-RP_SMAF-30CM,A777,24,WH01S-NTA
,Sales Order,09/22/2025,12/19/2025,,Prepay,09/22/2025,SO-20251341,PO51658,"Graftek Imaging, Inc.",2,0,2,12,Accessory:Cbl-MHF-RP_SMAF-30CM,A689,12,WH01S-NTA
,Sales Order,09/30/2025,12/31/2025,,Prepay,09/30/2025,SO-20251391,QTD_IES_2508263,Intelligent Energy Systems,4,0,4,16,Accessory:Cbl-MHF-RP_SMAF-30CM,A800,16,WH01S-NTA
,Sales Order,09/30/2025,12/31/2025,,Prepay,09/30/2025,SO-20251400,4017695,F.K. MACHINERY LTD.,2,0,2,12,Accessory:Cbl-MHF-RP_SMAF-30CM,A702,12,WH01S-NTA
Total Cbl-MHF-RP_SMAF-30CM,,,,,,,,,,98,0,98,432,,,432,
Cbl-MHF-SMAF-30CM1,,,,,,,,,,,,,,,,,
,Sales Order,09/30/2025,12/31/2025,,Prepay,09/30/2025,SO-20251391,QTD_IES_2508263,Intelligent Energy Systems,2,0,2,8,Accessory:Cbl-MHF-SMAF-30CM1,A800,8,WH01S-NTA
Total Cbl-MHF-SMAF-30CM1,,,,,,,,,,2,0,2,8,,,8,
Cbl-MHF4-RP_SMAF-15CM,,,,,,,,,,,,,,,,,
,Sales Order,09/05/2025,10/24/2025,,Prepay,09/05/2025,SO-20251265,14648,The Alliance,2,0,2,12,Accessory:Cbl-MHF4-RP_SMAF-15CM,A800,12,WH01S-NTA
,Sales Order,09/16/2025,10/31/2025,,Prepay,09/16/2025,SO-20251311,14666,The Alliance,20,0,20,120,Accessory:Cbl-MHF4-RP_SMAF-15CM,A800,120,WH01S-NTA
Total Cbl-MHF4-RP_SMAF-15CM,,,,,,,,,,22,0,22,132,,,132,
