Order Date,Ship Date,QB Num,P. O. #,Name,Qty(-),Qty(+),Item,Inventory Site,Remark
2025/09/25,,POD-251369,SO-20251348,Neousys Technology Incorp.,0,1,PA-600W-C4PY-4P,WH01S-NTA,SO25090451
2025/09/26,2025/11/5,POD-251371,,Neousys Technology Incorp.,0,8,POC-410,WH01S-NTA,SO25090483
2025/09/26,2025/10/22,POD-251371,,Neousys Technology Incorp.,0,5,M.280-SSD-256GB-SATA-TLC5WT-TD,WH01S-NTA,SO25090483
2025/09/26,,POD-251371,,Neousys Technology Incorp.,0,10,PCIe-PoE550X,WH01S-NTA,SO25090483
2025/09/26,2025/10/22,POD-251372,,Neousys Technology Incorp.,0,3,Nuvo-9006E-PoE-UL,WH01S-NTA,SO25090484
2025/09/26,2025/10/22,POD-251373,SO-20251357,Neousys Technology Incorp.,0,4,POC-40+IGN,WH01S-NTA,SO25090485
2025/09/26,2025/10/22,POD-251373,SO-20251357,Neousys Technology Incorp.,0,4,M.280-SSD-1TB-SATA-TLC5WT-TD,WH01S-NTA,SO25090485
2025/09/30,,POD-251378,SO-20251367,Neousys Technology Incorp.,0,10,POC-465AWP,WH01S-NTA,SO25090508
2025/09/30,,POD-251378,SO-20251367,Neousys Technology Incorp.,0,10,Cblkit-M12-POC-465AWP,WH01S-NTA,SO25090508
2025/09/30,,POD-251378,SO-20251367,Neousys Technology Incorp.,0,10,Wmkit-POC465AWP,WH01S-NTA,SO25090508
2025/09/30,,POD-251379,SO-20251368,Neousys Technology Incorp.,0,30,POC-465AWP,WH01S-NTA,SO25090509
2025/09/30,,POD-251379,SO-20251368,Neousys Technology Incorp.,0,30,Cblkit-M12-POC-465AWP,WH01S-NTA,SO25090509
2025/09/30,,POD-251379,SO-20251368,Neousys Technology Incorp.,0,30,Wmkit-POC465AWP,WH01S-NTA,SO25090509
2025/09/30,2025/10/8,POD-251377,,Neousys Technology Incorp.,0,1,DDR4-32GB-WT32-SM,WH01S-NTA,SO25090510
2025/09/30,,POD-251380,,Neousys Technology Incorp.,0,2,Nuvo-10208GC,WH01S-NTA,SO25090519
2025/09/30,,POD-251380,,Neousys Technology Incorp.,0,31,GC-RTX2000Ada-Nvidia,WH01S-NTA,SO25090519
2025/09/30,,POD-251381,,Neousys Technology Incorp.,0,3,POC-712-UL,WH01S-NTA,SO25090521
2025/09/30,,POD-251381,,Neousys Technology Incorp.,0,3,DDR5-8GB-56-SM,WH01S-NTA,SO25090521
2025/09/30,,POD-251382,,Neousys Technology Incorp.,0,2,AC-IMX390-H120,WH01S-NTA,SO25090522
2025/09/30,,POD-251382,,Neousys Technology Incorp.,0,1,AC-IMX390-H60,WH01S-NTA,SO25090522
2025/09/30,,POD-251383,,Neousys Technology Incorp.,0,10,mPCIe-M2E,WH01S-NTA,SO25090523
2025/09/30,,POD-251383,,Neousys Technology Incorp.,0,5,M.230-BTWIFI-AX210,WH01S-NTA,SO25090523
2025/09/30,,POD-251383,,Neousys Technology Incorp.,0,10,PCIe-PoE352at,WH01S-NTA,SO25090523
2025/09/30,,POD-251383,,Neousys Technology Incorp.,0,10,MezIO-V20,WH01S-NTA,SO25090523
2025/09/30,,POD-251383,,Neousys Technology Incorp.,0,20,Ant-RP_SMAM-WiFi-108MM,WH01S-NTA,SO25090523
2025/09/30,,POD-251384,,Neousys Technology Incorp.,0,6,POC-712,WH01S-NTA,SO25090524
2025/09/30,,POD-251385,,Neousys Technology Incorp.,0,3,NRU-52S-NX16G,WH01S-NTA,SO25090525
2025/09/30,,POD-251385,,Neousys Technology Incorp.,0,3,Wmkit-NRU-50,WH01S-NTA,SO25090525
2025/10/01,,POD-251397,,Neousys Technology Incorp.,0,1,POC-751VTC,WH01S-NTA,SO25090527
2025/10/01,,POD-251394,,Neousys Technology Incorp.,0,10,TB-3Pole-Push,WH01S-NTA,SO25100014
2025/10/01,,POD-251394,,Neousys Technology Incorp.,0,5,Nuvo-9006DE-PoE-UL,WH01S-NTA,SO25100014
2025/10/01,,POD-251395,SO-20251385,Neousys Technology Incorp.,0,8,NRU-230V-AWP-JAO64G,WH01S-NTA,SO25100015
2025/10/01,,POD-251395,SO-20251385,Neousys Technology Incorp.,0,12,AC-IMX390-H190,WH01S-NTA,SO25100015
,,o,,,,,,,N
