Order Date,QB Num,P. O. #,Name,Qty(+),Item,Inventory Site,Deliv Date
2025/09/12,POD-251308,SO-20251259,Neousys Technology Incorp.,1.0,i7-14700,WH01S-NTA,
2025/09/12,POD-251308,SO-20251259,Neousys Technology Incorp.,2.0,DDR5-32GB-56WT-SM,WH01S-NTA,
2025/09/12,POD-251314,A250289,Provantage LLC,6.0,FAN-CPU-RM1,WH01S-NTA,
2025/09/12,POD-251314,A250289,Provantage LLC,6.0,i5-14500,WH01S-NTA,
2025/09/15,POD-251320,,Neousys Technology Incorp.,3.0,GC-Jetson-AGX64GB-Orin-Nvidia,WH01S-NTA,
2025/09/15,POD-251320,,Neousys Technology Incorp.,3.0,NRU-220S,WH01S-NTA,
2025/09/18,POD-251338,SO-20251316,Neousys Technology Incorp.,1.0,AccsyBx-Cardholder-9160GC-2000E,WH01S-NTA,
2025/09/19,POD-251348,A250294r,Spectrum Sourcing,4.0,i9-13900,WH01S-NTA,
2025/09/24,POD-251363,SO-20251343,Neousys Technology Incorp.,1.0,NRU-171V-PPC-JON16-NS,WH01S-NTA,
2025/09/24,POD-251363,SO-20251343,Neousys Technology Incorp.,1.0,M.242-SSD-1TB-PCIe34-TLC5WT-TD,WH01S-NTA,
2025/09/24,POD-251363,SO-20251343,Neousys Technology Incorp.,1.0,E-mPCIe-BTWifi-WT-6218_Mod_15CM,WH01S-NTA,
2025/09/24,POD-251363,SO-20251343,Neousys Technology Incorp.,1.0,FPnl-3Ant-NRU-170-PPC series,WH01S-NTA,
2025/09/25,POD-251369,SO-20251348,Neousys Technology Incorp.,1.0,i9-14900,WH01S-NTA,
2025/09/25,POD-251369,SO-20251348,Neousys Technology Incorp.,1.0,M.280-SSD-4TB-PCIe4-TLCWT5-IK,WH01S-NTA,
2025/09/25,POD-251369,SO-20251348,Neousys Technology Incorp.,1.0,Pnl-5Ant-SEMIL20,WH01S-NTA,
2025/09/25,POD-251369,SO-20251348,Neousys Technology Incorp.,1.0,SEMIL-2047GC,WH01S-NTA,
2025/09/25,POD-251369,SO-20251348,Neousys Technology Incorp.,1.0,E-mPCIe-BTWifi-WT-6218_Mod_40CM,WH01S-NTA,
2025/09/25,POD-251369,SO-20251348,Neousys Technology Incorp.,2.0,Cbl-TpCPlug-UTpCF-50CM,WH01S-NTA,
2025/09/25,POD-251369,SO-20251348,Neousys Technology Incorp.,2.0,Cbl-TpCPlug-U3TA-50CM,WH01S-NTA,
2025/09/25,POD-251369,SO-20251348,Neousys Technology Incorp.,2.0,Cbl-TpCPlug-DPM-1M,WH01S-NTA,
2025/09/25,POD-251369,SO-20251348,Neousys Technology Incorp.,1.0,E-mPCIe-GPS-M800_Mod_40CM,WH01S-NTA,
2025/09/25,POD-251369,SO-20251348,Neousys Technology Incorp.,1.0,PA-600W-C4PY-4P,WH01S-NTA,
