Order Date,Ship Date,QB Num,P. O. #,Name,Qty(+),Qty(-),Item,Inventory Site,Remark,Pre/Bare
2025/09/03,2025/10/31,SO-20251248,PO-0138392,Carnegie Robotics LLC,0,12.0,Cbl-W5M-M12A5F-40CM-PK-CANFD-TP,WH01S-NTA,,Out
2025/09/30,2025/12/31,SO-20251390,455802,Navico Group Americas LLC,0,4.0,Cbl-W5M-M12A5M-40CM-PK-CANFD-TP,WH01S-NTA,,Out
2025/08/19,2025/11/07,SO-20251174,7291,Near Earth Autonomy,0,6.0,DtC-M12-WP,WH01S-NTA,,Out
2025/09/03,2025/10/31,SO-20251248,PO-0138392,Carnegie Robotics LLC,0,18.0,DtC-M12-WP,WH01S-NTA,,Out
2025/09/30,2025/12/31,SO-20251390,455802,Navico Group Americas LLC,0,1.0,DtC-M12-WP,WH01S-NTA,,Out
2025/09/30,2025/12/31,SO-20251390,455802,Navico Group Americas LLC,0,4.0,DtC-M12M-WP,WH01S-NTA,,Out
2025/09/03,2025/10/20,SO-20251250,7000610874,Boston Scientific,0,4.0,Dust Cover-COM,WH01S-NTA,,Out
2025/09/09,2025/10/21,SO-20251283,7000612884,Boston Scientific,0,12.0,Dust Cover-COM,WH01S-NTA,,Out
2025/09/10,2025/10/24,SO-20251287,PO18173,IRD- International Road Dynamics Inc.,0,2.0,Dust Cover-COM,WH01S-NTA,,Out
2025/09/16,2025/10/31,SO-20251311,14666,The Alliance,0,20.0,Dust Cover-COM,WH01S-NTA,,Out
2025/09/18,2025/10/15,SO-20251324,7000615510,Boston Scientific,0,4.0,Dust Cover-COM,WH01S-NTA,,Out
2025/09/18,2025/10/24,SO-20251325,7000615802,Boston Scientific,0,16.0,Dust Cover-COM,WH01S-NTA,,Out
2025/09/19,2025/12/31,SO-20251333,08000,Monteris Medical,0,5.0,Dust Cover-COM,WH01S-NTA,,Out
2025/09/29,2025/10/31,SO-20251381,PO18348,IRD- International Road Dynamics Inc.,0,6.0,Dust Cover-COM,WH01S-NTA,,Out
2025/09/30,2025/10/29,SO-20251393,7000618386,Boston Scientific,0,4.0,Dust Cover-COM,WH01S-NTA,,Out
